x, y, z, porePressure
   22.500,    17.500,     0.000,    654827.94
   22.500,    17.887,     0.000,    651028.56
   22.113,    17.113,     0.000,    658627.31
   22.113,    17.500,     0.000,    654827.94
   22.113,    17.887,     0.000,    651028.56
   22.887,    18.113,     0.000,    648817.31
   22.887,    18.500,     0.000,    645017.94
   22.887,    18.887,     0.000,    641218.56
   22.500,    18.113,     0.000,    648817.31
   22.500,    18.500,     0.000,    645017.94
   22.500,    18.887,     0.000,    641218.56
   22.113,    18.113,     0.000,    648817.31
   22.113,    18.500,     0.000,    645017.94
   22.113,    18.887,     0.000,    641218.56
   22.887,    19.113,     0.000,    639007.31
   22.887,    19.500,     0.000,    635207.94
   22.887,    19.887,     0.000,    631408.56
   22.500,    19.113,     0.000,    639007.31
   22.500,    19.500,     0.000,    635207.94
   22.500,    19.887,     0.000,    631408.56
   22.113,    19.113,     0.000,    639007.31
   22.113,    19.500,     0.000,    635207.94
   22.113,    19.887,     0.000,    631408.56
   22.887,    20.113,     0.000,    629197.31
   22.887,    20.500,     0.000,    625397.94
   22.887,    20.887,     0.000,    621598.56
   22.500,    20.113,     0.000,    629197.31
   22.500,    20.500,     0.000,    625397.94
   22.500,    20.887,     0.000,    621598.56
   22.113,    20.113,     0.000,    629197.31
   22.113,    20.500,     0.000,    625397.94
   22.113,    20.887,     0.000,    621598.56
   22.887,    21.113,     0.000,    619387.31
   22.887,    21.500,     0.000,    615587.94
   22.887,    21.887,     0.000,    611788.56
   22.500,    21.113,     0.000,    619387.31
   22.500,    21.500,     0.000,    615587.94
   22.500,    21.887,     0.000,    611788.56
   22.113,    21.113,     0.000,    619387.31
   22.113,    21.500,     0.000,    615587.94
   22.113,    21.887,     0.000,    611788.56
   22.887,    22.113,     0.000,    609577.31
   22.887,    22.500,     0.000,    605777.94
   22.887,    22.887,     0.000,    601978.56
   22.500,    22.113,     0.000,    609577.31
   22.500,    22.500,     0.000,    605777.94
   22.500,    22.887,     0.000,    601978.56
   22.113,    22.113,     0.000,    609577.31
   22.113,    22.500,     0.000,    605777.94
   22.113,    22.887,     0.000,    601978.56
   22.887,    23.113,     0.000,    599767.31
   22.887,    23.500,     0.000,    595967.94
   22.887,    23.887,     0.000,    592168.56
   22.500,    23.113,     0.000,    599767.31
   22.500,    23.500,     0.000,    595967.94
   22.500,    23.887,     0.000,    592168.56
