x, y, z, porePressure
   22.887,    22.113,     0.000,    273574.66
   22.887,    22.500,     0.000,    269775.25
   22.887,    22.887,     0.000,    265975.84
   22.500,    22.113,     0.000,    273574.66
   22.500,    22.500,     0.000,    269775.25
   22.500,    22.887,     0.000,    265975.84
   22.113,    22.113,     0.000,    273574.66
   22.113,    22.500,     0.000,    269775.25
   22.113,    22.887,     0.000,    265975.84
   22.887,    23.113,     0.000,    263764.62
   22.887,    23.500,     0.000,    259965.23
   22.887,    23.887,     0.000,    256165.83
   22.500,    23.113,     0.000,    263764.62
   22.500,    23.500,     0.000,    259965.23
   22.500,    23.887,     0.000,    256165.83
